pattern word1 word2 polysemy invCL
dAA02 abgedeckt_A unabgedeckt_A 0 0.0513960597959
dAA02 abhängig_A unabhängig_A 3 0.494740509855
dAA02 abkömmlich_A unabkömmlich_A 0 0.354502912315
dAA02 absehbar_A unabsehbar_A 1 0.214438992385
dAA02 absetzbar_A unabsetzbar_A 2 0.0477639422005
dAA02 absichtlich_A unabsichtlich_A 1 0.245722826234
dAA02 abwendbar_A unabwendbar_A 0 0.517305549525
dAA02 achtsam_A unachtsam_A 1 0.353417898803
dAA02 ähnlich_A unähnlich_A 1 0.0682126040057
dAA02 anfechtbar_A unanfechtbar_A 1 0.502672235948
dAA02 angebracht_A unangebracht_A 1 0.240464909182
dAA02 angefochten_A unangefochten_A 0 0.0840987597734
dAA02 angekündigt_A unangekündigt_A 1 0.094636739897
dAA02 angemeldet_A unangemeldet_A 1 0.158374635311
dAA02 angemessen_A unangemessen_A 1 0.208939986095
dAA02 angenehm_A unangenehm_A 2 0.347929288071
dAA02 angepaßt_A unangepaßt_A 0 0.188257398419
dAA02 angreifbar_A unangreifbar_A 1 0.366555719214
dAA02 annehmbar_A unannehmbar_A 1 0.300040529593
dAA02 ansehnlich_A unansehnlich_A 2 0.266208573037
dAA02 anständig_A unanständig_A 1 0.224773641382
dAA02 anstößig_A unanstößig_A 1 0.0341345644223
dAA02 appetitlich_A unappetitlich_A 1 0.338675567685
dAA02 artig_A unartig_A 1 0.198117762862
dAA02 artikuliert_A unartikuliert_A 0 0.270029119162
dAA02 ästhetisch_A unästhetisch_A 2 0.0525397995719
dAA02 attraktiv_A unattraktiv_A 3 0.118823578395
dAA02 aufdringlich_A unaufdringlich_A 1 0.391673887356
dAA02 auffällig_A unauffällig_A 2 0.333432118639
dAA02 auffindbar_A unauffindbar_A 1 0.28282327468
dAA02 aufgefordert_A unaufgefordert_A 0 0.394018799849
dAA02 aufgeklärt_A unaufgeklärt_A 1 0.184561432669
dAA02 aufmerksam_A unaufmerksam_A 2 0.0640963326956
dAA02 aufrichtig_A unaufrichtig_A 1 0.0908267177907
dAA02 ausführbar_A unausführbar_A 1 0.197338037168
dAA02 ausgebildet_A unausgebildet_A 1 0.0686648726882
dAA02 ausgefüllt_A unausgefüllt_A 0 0.107540923849
dAA02 ausgeglichen_A unausgeglichen_A 1 0.1329399503
dAA02 ausgenutzt_A unausgenutzt_A 0 0.0895924961719
dAA02 ausgeschlafen_A unausgeschlafen_A 0 0.337316404514
dAA02 ausgesetzt_A unausgesetzt_A 0 0.143928901803
dAA02 ausgesprochen_A unausgesprochen_A 1 0.176825963529
dAA02 ausgewogen_A unausgewogen_A 1 0.165092600259
dAA02 aussprechbar_A unaussprechbar_A 0 0.168040252218
dAA02 barmherzig_A unbarmherzig_A 1 0.225748287338
dAA02 beabsichtigt_A unbeabsichtigt_A 1 0.214372590752
dAA02 beachtet_A unbeachtet_A 1 0.347282857414
dAA02 beachtlich_A unbeachtlich_A 2 0.165998928611
dAA02 beanstandet_A unbeanstandet_A 0 0.187308077791
dAA02 beantwortet_A unbeantwortet_A 0 0.652818894581
dAA02 beaufsichtigt_A unbeaufsichtigt_A 0 0.290606742795
dAA02 bebaut_A unbebaut_A 0 0.331086500894
dAA02 bedacht_A unbedacht_A 1 0.304411165697
dAA02 bedenklich_A unbedenklich_A 1 0.405597727792
dAA02 bedeutend_A unbedeutend_A 1 0.176593797854
dAA02 bedient_A unbedient_A 0 0.0597221683104
dAA02 bedingt_A unbedingt_A 1 0.330671394219
dAA02 beeindruckt_A unbeeindruckt_A 1 0.335225368782
dAA02 beeinflußbar_A unbeeinflußbar_A 0 0.192737117981
dAA02 beeinflußt_A unbeeinflußt_A 0 0.310537345797
dAA02 befahrbar_A unbefahrbar_A 1 0.138984749235
dAA02 befangen_A unbefangen_A 1 0.40475917765
dAA02 befleckt_A unbefleckt_A 0 0.45681584886
dAA02 befriedigend_A unbefriedigend_A 1 0.362017534355
dAA02 befriedigt_A unbefriedigt_A 0 0.544393602827
dAA02 befristet_A unbefristet_A 1 0.246662288648
dAA02 befugt_A unbefugt_A 2 0.438677922609
dAA02 begabt_A unbegabt_A 1 0.124899026476
dAA02 begleitet_A unbegleitet_A 0 0.145159861497
dAA02 begreiflich_A unbegreiflich_A 1 0.352825959273
dAA02 begrenzt_A unbegrenzt_A 1 0.27333682776
dAA02 begründet_A unbegründet_A 1 0.344980263901
dAA02 behaart_A unbehaart_A 1 0.179695290945
dAA02 behaglich_A unbehaglich_A 1 0.295387111917
dAA02 behandelt_A unbehandelt_A 0 0.191884242861
dAA02 behauen_A unbehauen_A 0 0.266905160368
dAA02 beheizt_A unbeheizt_A 0 0.237896335339
dAA02 behelligt_A unbehelligt_A 0 0.452425943714
dAA02 beherrscht_A unbeherrscht_A 1 0.150590408097
dAA02 bekannt_A unbekannt_A 3 0.290223778226
dAA02 bekleidet_A unbekleidet_A 1 0.324288007304
dAA02 bekümmert_A unbekümmert_A 1 0.453766804902
dAA02 belastet_A unbelastet_A 1 0.233747013376
dAA02 belästigt_A unbelästigt_A 0 0.180742013653
dAA02 belebt_A unbelebt_A 2 0.367591763754
dAA02 belehrbar_A unbelehrbar_A 0 0.449454342465
dAA02 beleuchtet_A unbeleuchtet_A 1 0.17784554092
dAA02 beliebt_A unbeliebt_A 1 0.18714613485
dAA02 bemannt_A unbemannt_A 1 0.321087751663
dAA02 bemerkt_A unbemerkt_A 1 0.485022599098
dAA02 bemittelt_A unbemittelt_A 0 0.338417326518
dAA02 benommen_A unbenommen_A 0 0.220110240922
dAA02 benutzbar_A unbenutzbar_A 1 0.236622346054
dAA02 benutzt_A unbenutzt_A 1 0.204844929994
dAA02 benützt_A unbenützt_A 0 0.0649545956356
dAA02 beobachtet_A unbeobachtet_A 1 0.172048939687
dAA02 bequem_A unbequem_A 1 0.21354761271
dAA02 berechenbar_A unberechenbar_A 2 0.414910349704
dAA02 berechtigt_A unberechtigt_A 1 0.251979136072
dAA02 berücksichtigt_A unberücksichtigt_A 1 0.554482282126
dAA02 berührt_A unberührt_A 0 0.435848895968
dAA02 beschädigt_A unbeschädigt_A 1 0.250007864322
dAA02 beschäftigt_A unbeschäftigt_A 2 0.101067082277
dAA02 bescheiden_A unbescheiden_A 2 0.111581906614
dAA02 beschrankt_A unbeschrankt_A 0 0.346174529944
dAA02 beschränkt_A unbeschränkt_A 2 0.356580396295
dAA02 beschrieben_A unbeschrieben_A 0 0.117996598672
dAA02 beschwert_A unbeschwert_A 0 0.299571416915
dAA02 beseelt_A unbeseelt_A 1 0.205729352124
dAA02 besetzt_A unbesetzt_A 1 0.140872271055
dAA02 besiegt_A unbesiegt_A 0 0.26423501124
dAA02 besonnen_A unbesonnen_A 1 0.209611886759
dAA02 besorgt_A unbesorgt_A 1 0.130096163518
dAA02 beständig_A unbeständig_A 2 0.193464812237
dAA02 bestätigt_A unbestätigt_A 0 0.283616552836
dAA02 bestechlich_A unbestechlich_A 1 0.422983797779
dAA02 bestellt_A unbestellt_A 0 0.0869102379062
dAA02 bestimmbar_A unbestimmbar_A 1 0.172433471903
dAA02 bestimmt_A unbestimmt_A 2 0.120659735495
dAA02 bestritten_A unbestritten_A 0 0.542825673312
